year,Z1,M1
1896,28.333333333333332,9.5
1897,14.833333333333334,11.583333333333334
1898,10.916666666666666,6.25
1899,2.5833333333333335,12.416666666666666
1900,2.0,-2.875
1901,2.727272727272727,1.5454545454545454
1902,24.75,35.166666666666664
1903,16.363636363636363,-6.7272727272727275
1904,21.583333333333332,13.0
1905,-2.8333333333333335,-4.5
1906,25.666666666666668,-4.666666666666667
1907,15.333333333333334,3.0833333333333335
1908,-11.916666666666666,25.666666666666668
1909,-8.583333333333334,-11.166666666666666
1910,-8.333333333333334,2.0833333333333335
1911,-17.25,-8.333333333333334
1912,5.916666666666667,29.583333333333332
1913,2.272727272727273,14.363636363636363
1914,2.5,10.25
1915,16.363636363636363,-33.45454545454545
1916,-0.9090909090909091,-27.636363636363637
1917,-5.833333333333333,-25.166666666666668
1918,7.5,28.083333333333332
1919,10.083333333333334,12.75
1920,5.7272727272727275,-0.8181818181818182
1921,13.583333333333334,-2.25
1922,-3.6666666666666665,-15.75
1923,4.0,-21.09090909090909
1924,1.5454545454545454,-29.09090909090909
1925,10.25,8.25
1926,17.916666666666668,-4.75
1927,4.583333333333333,10.333333333333334
1928,-8.5,-23.5
1929,-3.4166666666666665,0.6666666666666666
1930,-5.583333333333333,24.25
1931,16.636363636363637,-6.454545454545454
1932,-15.333333333333334,-5.25
1933,-0.25,-7.0
1934,-4.7272727272727275,-15.454545454545455
1935,-15.0,-5.416666666666667
1936,-3.3636363636363638,0.6363636363636364
1937,-9.666666666666666,10.5
1938,-13.0,-15.181818181818182
1939,2.0,11.545454545454545
1940,6.0,-1.9166666666666667
1941,6.416666666666667,16.75
1942,13.545454545454545,-0.18181818181818182
1943,-3.5,-6.75
1944,7.416666666666667,15.75
1945,13.454545454545455,23.545454545454547
1946,12.454545454545455,7.818181818181818
1947,-1.5,-28.916666666666668
1948,9.166666666666666,-14.5
1949,12.833333333333334,1.9166666666666667
1950,-9.666666666666666,-3.1666666666666665
1951,-5.5,5.833333333333333
1952,0.75,-19.083333333333332
1953,2.6363636363636362,-1.2727272727272727
1954,-4.083333333333333,-11.416666666666666
1955,-7.090909090909091,-20.363636363636363
1956,-9.090909090909092,-33.45454545454545
1957,8.25,-1.25
1958,9.818181818181818,-8.090909090909092
1959,-14.833333333333334,7.916666666666667
1960,-17.454545454545453,-5.181818181818182
1961,-7.7272727272727275,5.0
1962,-4.090909090909091,-28.272727272727273
1963,-6.333333333333333,10.583333333333334
1964,16.166666666666668,-20.5
1965,2.25,5.5
1966,-13.416666666666666,-9.416666666666666
1967,-1.3333333333333333,0.8333333333333334
1968,0.9166666666666666,-19.5
1969,-2.5833333333333335,-7.666666666666667
1970,-8.272727272727273,-7.909090909090909
1971,-16.272727272727273,-33.81818181818182
1972,4.0,39.083333333333336
1973,-4.083333333333333,-21.666666666666668
1974,-26.75,-6.75
1975,2.8333333333333335,-0.6666666666666666
1976,-13.833333333333334,16.166666666666668
1977,-5.25,10.916666666666666
1978,-9.916666666666666,-18.5
1979,-1.0,-15.307692307692308
1980,4.75,4.916666666666667
1981,-7.666666666666667,-18.583333333333332
1982,5.25,11.0
1983,7.583333333333333,8.916666666666666
1984,-3.3636363636363638,-24.181818181818183
1985,-17.416666666666668,-22.916666666666668
1986,-5.666666666666667,-6.75
1987,3.5,6.166666666666667
1988,14.666666666666666,-4.75
1989,-20.833333333333332,-9.25
1990,6.916666666666667,1.5833333333333333
1991,7.416666666666667,23.333333333333332
1992,-10.416666666666666,31.416666666666668
1993,-6.818181818181818,6.454545454545454
1994,13.416666666666666,13.0
1995,-2.8181818181818183,-4.090909090909091
1996,-5.090909090909091,-15.454545454545455
1997,-3.1666666666666665,23.916666666666668
1998,11.25,-14.416666666666666
1999,-14.25,-5.25
2000,-4.625,-8.75
2001,-12.416666666666666,-8.833333333333334
2002,8.166666666666666,27.666666666666668
2003,-7.0,-6.833333333333333
2004,12.25,14.5
2005,-8.0,-14.583333333333334
2006,3.0,28.166666666666668
2007,-3.8333333333333335,5.416666666666667
2008,-4.333333333333333,-0.75
2009,-5.818181818181818,-1.3636363636363635
2010,-5.25,-8.916666666666666
2011,-5.916666666666667,8.833333333333334
2012,-7.666666666666667,-6.583333333333333
2013,-8.545454545454545,-10.545454545454545
2014,0.16666666666666666,6.333333333333333
2015,5.25,18.083333333333332
2016,8.833333333333334,-20.083333333333332
2017,-5.75,-7.083333333333333
2018,-7.916666666666667,-11.583333333333334
2019,12.636363636363637,-1.3636363636363635
2020,-0.5833333333333334,-16.75
2021,-0.16666666666666666,-21.583333333333332
2022,-55.0,33.0
